city,year,gdp,pgdp,pop,indus,elec,rd
上海,2003,6250.81,46718.0,1341.77,50.09,7459700.0,
上海,2004,7450.27,55307.0,1352.39,50.85,8214440.0,
上海,2005,9154.18,51474.0,1360.26,48.64,9219700.0,
上海,2006,10366.37,57695.0,1368.08,48.51,9901500.0,
上海,2007,12188.85,66367.0,1378.86,46.59,10723800.0,
上海,2008,13698.15,73124.0,1391.04,45.52,11382200.0,
上海,2009,15046.45,78989.0,1400.7,39.89,11533784.0,
上海,2010,17165.98,76074.0,1412.32,42.05,12958700.0,
上海,2011,19195.69,82560.0,1419.4,41.3,13396200.0,
上海,2012,20181.72,85373.0,1426.9,38.92,13534500.0,
上海,2013,21602.12,150853.0,1432.3,37.16,14106000.0,
上海,2014,23567.7,97370.0,1438.7,34.66,13465607.0,
上海,2015,25123.45,103796.0,1442.97,31.81,14055500.0,
上海,2016,28178.65,116562.0,1450.0,50.495000000000005,14860200.0,
上海,2017,30632.99,6.9,1455.0,29.805,15267716.0,
上海,2018,32679.87,134982.0,1462.0,48.085,15666595.0,
上海,2019,38156.0,157279.0,1469.0,26.99,15685775.0,15245534.0
上海,2020,38701.0,155800.0,1481.0,26.59,15958087.666666687,24208.0
上海,2021,43215.0,173600.0,1493.0,26.49,16167117.166666687,32860.0
上海,2022,44653.0,179900.0,1504.0,25.66,16376146.666666687,36800.0
南京,2003,1576.33,27307.0,572.23,51.04,1776748.0,
南京,2004,1910.0,33050.0,583.6,52.62,1996186.0,
南京,2005,2411.11,40887.0,595.8,49.78,2379068.0,
南京,2006,2773.78,46114.0,607.23,49.03,2602292.0,
南京,2007,3283.73,53639.0,617.17,48.94,2870984.0,
南京,2008,3775.0,60808.0,624.46,47.55,2977009.0,
南京,2009,4230.2608,67455.0,629.77,45.64,3224717.0,
南京,2010,5130.65,64037.0,632.42,45.37,3547502.0,
南京,2011,6145.52,76263.0,636.4,44.92,3789004.0,
南京,2012,7201.57,88525.0,638.5,44.03,4039334.0,
南京,2013,8011.78,124600.0,643.1,43.07,4626718.0,
南京,2014,8820.75,107545.0,648.7,41.08,4704973.0,
南京,2015,9720.77,118171.0,653.4,40.29,4951753.0,
南京,2016,10503.02,127264.0,663.0,39.2,5247900.0,
南京,2017,11715.1,8.1,681.0,38.015,5569607.0,
南京,2018,12820.4,152886.0,697.0,36.83,6064005.0,
南京,2019,14031.0,165681.0,710.0,35.93,6215300.0,
南京,2020,14818.0,159322.0,932.0,35.19,6329425.0,14897.0
南京,2021,16356.0,174520.0,734.0,36.09,6835698.0,21568.0
