city_idx,city,scenario,peak_year,peak_value,province,类型
0,上海,强化减排情景,2013,207.6336928198307,上海,已达峰
1,南京,强化减排情景,2031,194.62047681522057,江苏,远期达峰(2031-2040)
2,无锡,强化减排情景,2031,107.90454889048851,江苏,远期达峰(2031-2040)
3,徐州,强化减排情景,2040,192.602599573645,江苏,远期达峰(2031-2040)
4,常州,强化减排情景,2021,65.54257412329147,江苏,已达峰
5,苏州,强化减排情景,2027,250.7432942164332,江苏,近期达峰(2023-2030)
6,南通,强化减排情景,2016,53.458607733825325,江苏,已达峰
7,连云港,强化减排情景,2021,32.38282536620309,江苏,已达峰
8,淮安,强化减排情景,2017,39.4370755720154,江苏,已达峰
9,盐城,强化减排情景,2021,47.92239802581859,江苏,已达峰
10,扬州,强化减排情景,2021,37.78886626464779,江苏,已达峰
11,镇江,强化减排情景,2021,56.75250786641771,江苏,已达峰
12,泰州,强化减排情景,2021,42.72714977234937,江苏,已达峰
13,宿迁,强化减排情景,2021,12.387505677735298,江苏,已达峰
14,杭州,强化减排情景,2014,58.03596763101687,浙江,已达峰
15,宁波,强化减排情景,2040,187.28040416742505,浙江,远期达峰(2031-2040)
16,温州,强化减排情景,2017,57.30141153289316,浙江,已达峰
17,嘉兴,强化减排情景,2030,62.299272121183584,浙江,近期达峰(2023-2030)
18,湖州,强化减排情景,2007,27.038792733060404,浙江,已达峰
19,绍兴,强化减排情景,2021,40.97494487438813,浙江,已达峰
20,金华,强化减排情景,2011,28.01839455842932,浙江,已达峰
21,衢州,强化减排情景,2017,32.14186572016256,浙江,已达峰
22,舟山,强化减排情景,2021,30.307094375557067,浙江,已达峰
23,台州,强化减排情景,2011,56.204616435954485,浙江,已达峰
24,丽水,强化减排情景,2013,8.503281015227733,浙江,已达峰
25,合肥,强化减排情景,2014,43.25158860534249,安徽,已达峰
26,芜湖,强化减排情景,2021,39.69923328495433,安徽,已达峰
27,蚌埠,强化减排情景,2021,18.585378410180063,安徽,已达峰
28,淮南,强化减排情景,2029,72.24134436995809,安徽,近期达峰(2023-2030)
29,马鞍山,强化减排情景,2036,122.78534861804478,安徽,远期达峰(2031-2040)
30,淮北,强化减排情景,2015,76.24924247410442,安徽,已达峰
31,铜陵,强化减排情景,2017,33.46550875517907,安徽,已达峰
32,安庆,强化减排情景,2017,33.700590559809044,安徽,已达峰
33,黄山,强化减排情景,2014,2.121114179093522,安徽,已达峰
34,滁州,强化减排情景,2016,15.13769015952163,安徽,已达峰
35,阜阳,强化减排情景,2027,25.94658272951176,安徽,近期达峰(2023-2030)
36,宿州,强化减排情景,2014,36.00913954506068,安徽,已达峰
37,六安,强化减排情景,2021,11.869917167635894,安徽,已达峰
38,亳州,强化减排情景,2021,13.24283618322287,安徽,已达峰
39,池州,强化减排情景,2021,16.1572387617359,安徽,已达峰
40,宣城,强化减排情景,2021,19.798184319163376,安徽,已达峰
